,Unnamed: 0,Proud,Participantsex,Levelofeducation,Ashamed,Skilful,Envious,Desprecio,Goodnatured,Inspired,Uneasy,Hateful,Leadersex,Jealous,Frustrated,Maritalstatus,Warm,Capable,Competent,Resentful,Wellintentioned,Assessmentleader,Simpaty,Friendly,Molestia,Disgusted,Pity,Intelligent,Admiring,Age,Respectful,Confident,Trustworthy,Replacementleader,Typeofcompany,Angry,Responsaatribu,Sincere,Efficient,Group1(Competent),Group2(Friendly),Group3(Hateful),Group4(Admiring),Group5(Jealous),Group6(Uneasy)
308,310,2,1,4,1,5,1,1,3,4,2,1,1,1,1,2,2,5,5,1,4,5,3,3,1,1,1,4,3,47,4,5,5,3,2,1,5,4,5,5.0,4.0,1.0,3.0,1.0,2.0
309,311,3,1,2,1,5,1,1,4,3,3,1,1,1,1,2,4,5,5,1,4,5,2,4,1,1,1,5,3,35,3,5,4,2,2,1,4,4,5,5.0,4.0,1.0,3.0,1.0,2.0
310,312,1,2,6,1,5,1,1,2,4,1,1,1,1,1,1,2,4,5,1,5,5,3,2,1,1,1,5,5,26,5,3,3,3,2,1,4,2,6,5.0,3.0,1.0,4.0,1.0,2.0
311,313,1,2,6,1,5,1,1,2,4,1,1,1,1,1,1,2,4,5,1,5,5,3,2,1,1,1,5,5,26,5,3,3,3,2,1,4,2,6,5.0,3.0,1.0,4.0,1.0,2.0
312,314,4,1,4,1,5,1,1,3,3,1,1,1,1,1,1,3,5,6,1,3,5,3,3,1,1,1,5,5,27,3,5,3,2,2,1,5,2,6,5.0,3.0,1.0,4.0,1.0,2.0
313,315,4,1,4,1,5,1,1,3,3,1,1,1,1,1,1,3,5,6,1,3,5,3,3,1,1,1,5,5,27,3,5,3,2,2,1,5,2,6,5.0,3.0,1.0,4.0,1.0,2.0
314,316,1,1,5,1,4,1,1,3,4,2,1,1,1,1,1,3,4,5,1,3,6,3,3,1,1,1,3,5,33,4,4,3,2,2,1,4,3,4,4.0,3.0,1.0,4.0,1.0,2.0
315,317,3,1,4,1,5,1,1,3,4,3,1,1,1,1,2,3,5,5,1,3,4,3,3,1,1,1,4,3,47,3,5,3,4,2,1,5,3,4,5.0,3.0,1.0,3.0,1.0,3.0
316,318,3,2,3,1,5,1,1,2,4,1,1,1,1,1,1,2,4,5,1,3,5,3,2,1,1,1,3,4,23,5,5,3,3,1,1,5,3,5,4.0,2.0,1.0,4.0,1.0,2.0
317,319,3,2,4,1,5,1,1,3,4,2,1,1,1,1,1,3,4,4,1,5,4,2,3,1,1,1,5,4,32,4,4,3,2,1,1,4,3,4,4.0,3.0,1.0,4.0,1.0,2.0
318,320,3,2,4,1,4,1,1,4,3,3,1,1,1,1,2,3,3,5,1,4,4,3,3,1,1,1,5,4,53,4,5,3,5,2,1,1,4,3,4.0,4.0,1.0,4.0,1.0,3.0
319,321,3,2,4,1,4,1,1,4,3,3,1,1,1,1,2,3,3,5,1,4,4,3,3,1,1,1,5,4,53,4,5,3,5,2,1,1,4,3,4.0,4.0,1.0,4.0,1.0,3.0
320,322,2,2,3,1,4,1,1,3,4,3,1,1,1,1,2,3,4,4,1,4,5,3,3,1,1,1,4,4,44,4,5,5,2,2,1,6,3,5,4.0,4.0,1.0,4.0,1.0,3.0
321,323,2,2,3,1,4,1,1,3,4,3,1,1,1,1,2,3,4,4,1,4,5,3,3,1,1,1,4,4,44,4,5,5,2,2,1,6,3,5,4.0,4.0,1.0,4.0,1.0,3.0
322,324,4,1,2,1,5,1,1,2,4,2,1,1,1,1,3,2,4,4,1,4,6,3,3,1,1,1,5,4,55,4,5,4,6,2,1,6,4,5,5.0,3.0,1.0,4.0,1.0,2.0
323,325,4,2,4,1,5,1,1,2,4,2,1,1,1,1,2,2,5,5,1,3,6,4,2,1,1,1,5,5,37,4,5,3,2,2,1,6,5,5,5.0,3.0,1.0,4.0,1.0,3.0
324,326,4,2,4,1,5,1,1,3,4,3,1,1,1,1,1,3,4,4,1,3,6,3,3,1,1,1,4,4,48,4,4,3,2,2,1,5,3,5,4.0,3.0,1.0,4.0,1.0,3.0
325,327,1,2,4,1,6,1,1,4,4,4,1,1,1,1,2,4,6,5,1,6,6,5,5,1,1,1,6,5,54,5,4,5,1,2,1,5,4,6,6.0,5.0,1.0,4.0,1.0,4.0
326,328,1,2,4,1,6,1,1,4,4,4,1,1,1,1,2,4,6,5,1,6,6,5,5,1,1,1,6,5,54,5,4,5,1,2,1,5,4,6,6.0,5.0,1.0,4.0,1.0,4.0
327,329,4,1,3,1,3,1,1,3,4,4,1,1,1,1,2,3,5,5,1,4,6,4,3,1,1,1,5,4,48,4,5,3,4,2,1,4,3,5,5.0,3.0,1.0,4.0,1.0,4.0
328,330,4,1,1,1,6,1,1,4,5,1,1,1,1,1,2,5,5,4,1,6,5,4,3,1,1,1,5,5,50,6,4,3,1,2,1,6,3,5,5.0,4.0,1.0,5.0,1.0,2.0
329,331,4,1,3,1,5,1,1,3,5,4,1,1,1,1,1,3,5,5,1,3,6,5,3,1,1,1,4,4,44,5,5,5,3,2,1,6,5,5,5.0,4.0,1.0,4.0,1.0,4.0
330,332,4,2,5,1,5,1,1,4,5,4,1,1,1,1,2,4,5,5,1,5,5,5,3,1,1,1,5,5,40,5,4,5,3,2,1,4,4,4,5.0,4.0,1.0,5.0,1.0,4.0
331,333,4,1,1,1,6,1,1,4,5,5,1,1,1,1,2,5,5,4,1,5,5,4,3,1,1,1,5,5,50,6,4,3,1,2,1,6,3,5,5.0,4.0,1.0,5.0,1.0,4.0
332,334,5,1,1,1,5,1,1,5,5,5,1,1,1,1,2,5,5,5,1,5,6,5,5,1,1,1,5,5,43,5,5,5,1,2,1,6,5,5,5.0,5.0,1.0,5.0,1.0,5.0
333,335,5,2,3,1,5,1,1,5,6,4,1,1,1,1,4,5,6,5,1,6,6,5,5,1,1,1,5,5,42,6,5,4,1,2,1,6,5,6,5.0,5.0,1.0,6.0,1.0,4.0
334,336,6,1,3,1,6,1,1,5,6,5,1,1,1,1,1,5,6,6,1,5,6,2,5,1,1,1,6,6,38,6,6,6,1,2,1,6,5,6,6.0,5.0,1.0,6.0,1.0,4.0
335,337,1,2,4,1,4,2,1,3,2,1,1,1,1,1,2,2,4,4,1,2,5,2,2,1,1,1,3,3,29,3,5,2,2,2,1,5,2,4,4.0,2.0,1.0,2.0,2.0,2.0
336,338,2,1,3,1,3,2,1,3,2,1,1,1,1,1,2,3,3,3,1,2,5,2,2,1,1,1,4,2,52,3,5,3,3,2,1,3,3,4,4.0,3.0,1.0,2.0,2.0,2.0
337,339,2,1,1,1,5,2,1,2,3,2,1,1,1,1,2,2,4,3,1,3,5,4,3,1,1,2,5,3,40,3,3,3,3,2,1,4,2,4,4.0,2.0,1.0,3.0,2.0,3.0
338,340,3,1,4,1,3,1,1,2,2,2,1,1,2,1,2,2,4,3,1,3,5,3,2,1,1,1,4,3,34,3,3,4,3,2,1,5,3,4,4.0,3.0,1.0,3.0,2.0,2.0
339,341,3,2,2,1,4,2,1,4,4,1,1,1,1,1,1,3,4,3,1,5,6,1,5,1,1,1,4,3,33,3,4,4,1,2,1,5,3,4,4.0,4.0,1.0,3.0,2.0,1.0
340,342,2,2,4,1,2,2,1,2,3,2,1,1,1,1,1,2,3,4,1,3,6,3,3,1,1,1,3,4,38,4,4,4,2,2,1,5,3,4,3.0,3.0,1.0,3.0,2.0,2.0
341,343,3,2,5,1,5,2,1,3,4,3,1,1,1,1,1,2,5,5,1,3,6,4,3,1,1,1,5,3,35,4,5,3,2,2,1,6,4,5,5.0,3.0,1.0,4.0,2.0,4.0
342,344,4,2,1,1,5,2,1,2,4,2,1,1,1,1,2,2,5,5,1,3,6,3,4,1,1,1,5,4,58,4,5,3,3,2,1,6,4,5,5.0,3.0,1.0,4.0,2.0,2.0
343,345,3,1,4,1,5,2,1,4,4,3,1,1,1,1,2,2,4,4,1,3,5,4,4,1,1,1,4,4,44,5,4,4,2,2,1,5,3,5,4.0,3.0,1.0,4.0,2.0,4.0
344,346,2,1,3,1,5,2,1,1,3,2,1,1,2,1,2,1,3,3,1,2,6,3,2,1,1,1,5,3,44,3,3,2,3,2,1,5,2,4,4.0,2.0,1.0,3.0,2.0,2.0
345,347,4,2,4,1,4,3,1,3,2,1,1,1,1,1,4,2,4,4,1,4,5,4,4,1,1,1,4,4,52,3,4,4,2,2,1,5,3,4,4.0,3.0,1.0,3.0,2.0,2.0
346,348,3,2,4,1,5,3,1,4,3,2,1,1,1,1,1,2,5,5,1,2,5,4,3,1,1,1,5,3,29,3,5,4,2,2,1,5,3,5,5.0,3.0,1.0,3.0,2.0,3.0
347,349,4,2,1,1,5,3,1,2,2,1,1,1,1,1,2,2,4,5,1,3,6,4,2,1,1,1,4,4,63,4,4,2,3,2,1,6,3,4,4.0,2.0,1.0,4.0,2.0,2.0
348,350,3,1,4,1,5,2,1,4,3,3,1,1,2,1,1,3,5,5,1,4,6,2,5,1,1,1,5,3,40,3,5,5,4,2,1,6,4,5,5.0,4.0,1.0,3.0,2.0,2.0
349,351,3,1,4,1,5,2,1,3,4,3,1,1,2,1,1,3,5,5,1,4,5,4,3,1,1,1,4,4,44,4,4,4,2,1,1,5,3,5,5.0,3.0,1.0,4.0,2.0,4.0
350,352,4,2,2,1,4,2,1,3,4,3,1,1,2,1,1,3,4,4,1,3,5,2,3,1,1,1,4,4,28,4,4,4,3,2,1,5,3,4,4.0,3.0,1.0,4.0,2.0,2.0
351,353,3,1,4,1,5,2,1,3,5,2,1,1,2,1,4,3,5,5,1,5,6,4,4,1,1,1,5,4,52,5,5,5,2,2,1,5,3,5,5.0,4.0,1.0,4.0,2.0,3.0
352,354,2,1,4,1,6,4,1,3,4,1,1,1,1,1,2,3,5,5,1,4,6,3,4,1,1,1,6,4,50,3,6,5,1,2,1,5,2,5,6.0,4.0,1.0,3.0,2.0,2.0
353,355,3,2,4,1,4,3,1,3,4,2,1,1,2,1,2,2,4,3,1,3,4,4,3,1,1,1,3,3,62,4,4,3,2,2,1,4,4,4,4.0,3.0,1.0,4.0,2.0,3.0
354,356,4,1,1,1,4,2,1,4,6,3,1,1,3,1,1,3,3,3,1,3,5,4,4,1,1,1,4,5,40,6,4,3,2,1,1,5,4,3,4.0,4.0,1.0,5.0,2.0,4.0
355,357,1,2,4,1,4,5,1,5,4,4,1,1,1,1,2,4,4,3,1,4,5,5,5,1,1,1,4,1,47,5,4,3,3,2,1,5,4,4,4.0,4.0,1.0,3.0,3.0,4.0
356,358,1,2,1,1,5,3,1,3,4,3,1,1,3,1,2,3,5,5,1,3,4,3,3,1,1,1,5,4,40,4,3,3,1,1,1,6,3,6,5.0,3.0,1.0,3.0,3.0,3.0
357,359,4,1,3,1,5,5,1,3,3,3,1,1,1,1,2,3,5,4,1,3,5,4,3,1,1,1,4,3,48,4,3,3,1,2,1,4,3,5,4.0,3.0,1.0,4.0,3.0,4.0
358,360,3,1,3,1,5,1,1,4,5,3,1,1,3,1,1,3,5,5,1,5,6,5,4,1,1,1,5,4,23,5,5,5,1,2,1,6,5,5,5.0,4.0,1.0,4.0,2.0,4.0
359,361,4,1,4,1,4,4,1,2,2,2,1,1,3,1,1,2,3,5,1,3,6,2,2,1,1,1,3,4,33,3,4,3,2,2,1,5,3,5,4.0,2.0,1.0,3.0,4.0,2.0
360,362,1,1,2,1,4,1,1,1,1,1,1,1,1,2,2,1,4,4,1,2,5,1,1,1,1,2,4,1,44,2,4,2,3,2,1,4,1,4,4.0,1.0,1.0,1.0,1.0,1.0
361,363,3,2,4,1,4,1,1,2,3,3,1,1,1,2,0,2,4,4,1,5,6,4,5,1,1,1,4,3,30,3,4,5,2,2,1,6,4,4,4.0,4.0,1.0,3.0,1.0,4.0
362,364,4,2,2,1,5,1,1,2,2,3,1,1,1,2,2,3,3,3,1,3,4,3,2,1,1,1,3,4,47,5,4,3,2,2,1,5,4,4,4.0,3.0,1.0,4.0,1.0,3.0
363,365,3,1,4,1,3,2,1,2,4,2,1,1,1,2,1,2,5,4,1,2,6,4,3,1,1,1,5,4,25,5,5,4,2,2,1,5,4,5,4.0,3.0,1.0,4.0,2.0,3.0
364,366,5,2,3,1,6,3,1,4,5,4,1,1,2,2,2,3,6,6,1,4,6,5,4,1,1,2,6,5,35,5,6,6,3,2,1,6,5,6,6.0,4.0,1.0,5.0,2.0,4.0
365,367,4,2,3,1,5,3,1,2,4,2,1,1,3,2,2,2,4,4,1,5,6,3,3,1,1,1,5,6,34,5,4,4,3,1,1,5,3,3,4.0,3.0,1.0,5.0,3.0,2.0
366,368,4,2,4,1,5,4,1,4,4,3,1,1,4,2,1,4,5,5,1,3,6,4,3,1,1,1,5,4,28,4,6,4,2,2,1,6,4,6,5.0,4.0,1.0,4.0,4.0,4.0
367,369,2,2,2,2,4,1,1,2,2,1,1,1,1,2,1,2,3,3,1,4,4,1,2,2,1,1,3,2,30,2,3,3,4,1,1,3,3,3,3.0,3.0,1.0,2.0,1.0,1.0
368,370,2,2,3,2,3,2,1,1,2,1,1,1,1,2,1,1,3,3,1,2,3,2,2,1,2,1,2,2,28,2,3,2,2,2,1,3,1,3,3.0,2.0,1.0,2.0,2.0,2.0
369,371,1,1,3,1,4,2,1,2,1,1,1,1,2,1,1,2,4,4,2,2,4,1,3,2,1,1,4,2,24,2,4,2,2,2,1,5,1,4,4.0,2.0,1.0,2.0,2.0,1.0
370,372,3,1,3,3,5,2,1,3,4,2,1,1,2,3,2,3,5,4,1,5,5,4,3,1,1,2,3,3,35,4,5,4,2,2,1,5,4,5,4.0,4.0,1.0,4.0,2.0,3.0
371,373,3,2,3,1,5,3,1,4,5,2,1,1,2,3,1,3,5,5,1,5,6,4,3,1,1,1,5,5,22,5,5,5,1,2,1,5,5,5,5.0,4.0,1.0,4.0,2.0,3.0
372,374,1,2,4,2,3,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,2,1,2,2,1,1,2,1,53,2,2,3,1,2,1,3,1,1,2.0,2.0,1.0,1.0,1.0,1.0
373,375,1,1,1,1,4,1,1,3,1,1,1,1,1,2,2,3,4,3,1,2,5,1,3,2,2,2,3,1,48,2,4,2,3,2,1,4,2,4,4.0,2.0,1.0,1.0,1.0,1.0
374,376,2,2,3,1,3,2,1,3,3,1,1,1,3,2,1,2,3,4,1,2,3,3,2,2,2,1,2,3,24,2,3,2,3,2,1,4,3,3,3.0,2.0,1.0,2.0,2.0,2.0
