,Proud,Participantsex,Levelofeducation,Ashamed,Skilful,Envious,Desprecio,Goodnatured,Inspired,Uneasy,Hateful,Leadersex,Jealous,Frustrated,Maritalstatus,Warm,Capable,Competent,Resentful,Wellintentioned,Assessmentleader,Simpaty,Friendly,Molestia,Disgusted,Pity,Intelligent,Admiring,Age,Respectful,Confident,Trustworthy,Replacementleader,Typeofcompany,Angry,Responsaatribu,Sincere,Efficient,Group1(Competent),Group2(Friendly),Group3(Hateful),Group4(Admiring),Group5(Jealous),Group6(Uneasy)
234,1,2,1,1,3,1,1,2,1,1,1,1,1,2,2,3,3,3,1,3,5,2,2,1,1,1,3,2,50,2,4,2,3,1,1,5,2,3,6,3,1,2,2,2
235,1,2,2,1,4,1,1,2,2,1,1,2,1,2,1,2,5,4,1,2,6,2,2,1,1,1,4,2,20,2,5,3,2,1,1,6,3,5,5,3,1,3,2,2
236,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,6,1,1,1,1,1,3,2,63,3,3,2,3,2,2,6,2,2,4,2,1,4,2,2
237,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,1,2,2,1,3,5,1,2,1,1,1,2,2,48,3,2,3,3,1,1,4,1,3,4,3,1,3,1,1
238,3,2,4,1,5,1,1,3,6,1,1,2,1,2,1,2,3,5,1,5,5,4,3,1,1,1,4,4,32,6,4,5,2,1,1,4,2,4,4,3,1,4,1,2
239,1,1,4,2,4,2,1,2,2,1,1,2,2,2,1,2,3,3,1,4,6,1,2,1,1,1,3,3,44,3,3,3,3,2,1,5,5,4,5,4,1,4,2,4
240,2,1,2,1,5,3,1,3,2,2,1,1,1,1,2,3,5,6,1,3,5,2,4,1,1,1,5,3,65,2,5,3,1,1,2,6,3,6,4,3,1,3,1,2
241,1,1,4,1,4,2,1,4,3,2,1,2,2,1,2,3,4,4,1,4,6,4,3,1,1,1,4,2,37,3,4,4,1,2,2,6,4,4,4,4,1,6,1,4
242,3,2,4,1,5,2,1,4,4,3,1,2,2,2,1,3,4,4,1,4,6,3,5,1,1,1,4,4,36,5,5,4,2,1,1,5,4,5,4,2,1,3,1,1
243,5,2,1,1,6,2,1,4,3,3,1,1,2,1,2,4,6,5,1,4,5,4,4,1,1,1,5,5,46,4,6,5,3,1,2,5,5,5,4,2,1,2,1,2
244,2,1,2,1,2,2,1,1,3,2,1,2,3,2,2,3,2,2,1,2,5,2,2,1,1,1,3,3,55,3,3,2,3,1,1,3,2,3,4,3,1,3,1,2
245,3,1,2,1,5,2,1,4,3,3,1,2,3,1,1,4,6,6,1,5,6,1,5,1,1,1,5,4,24,3,5,5,3,2,2,5,2,6,4,4,1,3,1,3
246,5,1,3,1,6,2,1,3,4,2,1,2,3,2,1,4,5,4,1,2,6,3,2,1,1,3,5,2,30,4,4,2,6,1,1,6,1,4,6,4,1,3,2,2
247,3,1,2,1,5,3,1,4,4,3,1,2,2,1,2,4,5,5,1,4,5,3,4,1,1,1,6,4,37,4,4,5,3,1,2,5,4,5,4,4,1,3,3,3
248,5,2,4,1,6,4,1,3,5,3,1,2,4,1,2,2,4,6,1,1,6,4,3,1,1,1,6,5,47,6,4,3,3,1,2,6,3,6,5,3,1,4,4,3
249,3,2,3,1,5,1,1,1,5,2,1,1,1,3,1,1,4,5,1,4,3,2,1,1,1,1,5,1,28,5,6,3,2,2,1,3,1,5,3,2,1,2,2,2
250,1,2,4,1,3,1,1,3,4,2,1,1,1,1,2,3,5,5,1,4,6,4,3,1,1,1,5,4,54,4,5,5,1,2,3,5,3,5,6,5,1,4,1,4
251,2,1,5,1,4,2,1,1,4,1,1,2,2,2,2,1,3,3,1,3,5,2,2,2,1,1,3,3,49,3,3,4,3,1,1,4,2,4,4,3,1,2,2,2
252,4,1,4,1,3,2,1,3,4,3,1,1,2,2,2,2,3,3,1,3,6,3,3,2,1,1,4,6,51,3,3,3,3,1,1,6,4,3,6,3,1,5,4,5
253,3,1,4,1,4,4,1,3,4,3,1,2,2,2,1,3,4,4,1,4,5,3,3,2,1,2,4,4,38,3,4,4,4,2,1,5,3,4,5,3,1,3,2,2
254,1,2,5,1,5,1,2,4,1,2,1,1,1,2,2,4,5,5,2,4,5,1,4,1,1,2,5,2,39,2,4,4,2,1,1,6,4,4,5,5,1,4,1,2
255,2,1,4,2,3,1,1,2,2,1,1,1,1,4,2,2,3,3,1,6,6,1,1,1,1,1,2,2,29,5,3,5,1,1,1,5,2,3,5,6,1,2,1,2
256,4,2,4,1,4,4,1,2,4,3,1,2,4,2,2,3,5,5,2,3,4,3,3,2,1,1,5,3,53,3,5,3,3,1,1,5,2,5,5,3,1,3,2,2
257,3,1,3,2,2,3,1,2,5,2,1,1,2,3,2,2,2,4,1,5,4,4,3,2,2,1,3,5,54,5,5,5,3,2,1,4,2,5,3,3,1,1,1,1
258,2,2,2,2,5,2,2,3,2,2,1,2,1,2,2,2,4,4,1,3,2,2,1,2,2,1,4,2,54,2,3,4,2,1,1,2,3,4,3,2,1,2,1,1
259,1,2,4,1,2,1,2,2,1,1,2,1,1,2,2,3,3,2,1,3,6,2,2,1,2,1,2,1,40,1,3,3,6,2,2,6,2,2,6,4,1,1,1,1
260,2,1,4,1,2,3,2,2,2,1,1,1,3,2,2,1,2,2,2,1,5,2,2,2,1,2,2,3,42,2,2,1,2,1,3,5,2,2,4,3,1,2,1,1
261,2,1,3,2,6,2,2,6,1,2,2,1,2,2,2,6,6,5,2,5,4,2,4,2,2,2,6,2,47,2,3,5,2,1,2,4,4,6,4,2,1,2,1,2
262,3,1,1,3,2,2,3,1,2,2,2,2,3,3,4,2,2,2,2,1,5,3,1,1,1,2,2,4,51,3,1,2,1,2,3,6,3,1,5,5,1,4,1,5
263,3,1,4,1,2,3,3,2,2,2,2,2,3,1,4,2,3,2,3,2,6,1,3,3,2,1,3,4,42,3,2,3,1,2,2,6,2,3,5,5,1,5,1,5
264,3,1,4,2,1,3,3,1,2,2,3,1,2,3,2,2,2,2,3,2,6,2,1,2,2,2,1,2,42,2,2,2,1,1,3,5,2,2,4,3,1,3,2,2
265,3,2,4,2,1,3,3,1,2,2,3,1,2,3,1,2,2,2,3,2,4,2,1,2,2,2,1,2,35,2,2,2,3,1,3,4,2,2,4,2,1,3,2,2
266,4,2,4,2,6,4,4,3,5,3,2,2,4,3,1,3,4,5,4,3,5,2,3,4,4,1,4,3,32,2,4,4,4,1,4,5,4,5,4,2,1,3,2,2
267,2,2,2,5,2,1,4,3,2,2,3,2,2,4,2,2,2,2,4,1,6,2,2,3,3,3,4,1,63,2,4,2,1,2,5,6,1,3,6,6,1,6,2,6
268,3,1,3,3,5,3,3,3,4,2,5,1,4,4,2,3,5,5,5,5,4,2,5,4,4,2,5,4,47,4,5,2,1,1,4,6,3,5,4,3,1,3,1,2
269,1,2,4,5,2,1,5,1,1,1,5,2,1,6,1,1,1,1,4,1,3,1,1,5,4,1,3,1,28,1,1,1,3,1,5,5,1,1,2,2,2,1,1,2
270,5,2,4,1,2,2,5,2,3,2,6,1,2,6,2,3,1,2,5,2,4,3,2,4,4,1,2,2,62,2,5,2,2,2,5,4,6,1,4,3,1,4,2,3
271,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,6,6,1,6,6,1,1,1,1,1,6,1,44,1,6,6,1,1,1,6,1,6,5,4,1,4,1,1
272,1,2,4,1,4,1,1,3,1,1,1,1,1,1,2,3,2,3,1,3,6,1,3,1,1,1,3,1,40,1,3,5,6,2,1,6,3,3,6,4,1,1,1,1
273,1,2,5,1,4,1,1,3,1,1,1,1,1,1,1,3,2,3,1,3,6,1,3,1,1,1,3,1,35,1,3,5,2,2,1,6,3,3,5,3,1,4,2,4
274,1,1,4,1,6,1,1,3,1,1,1,2,1,1,2,3,6,6,1,3,4,1,3,1,1,1,6,1,42,1,6,6,2,1,1,2,3,6,5,2,1,4,1,2
275,1,2,3,1,6,1,1,3,1,1,1,1,1,1,4,3,6,6,1,3,6,1,3,1,1,1,6,1,47,1,6,6,3,1,1,5,3,6,4,3,1,4,2,2
276,1,2,4,1,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,5,2,1,1,1,1,2,1,44,1,2,1,3,2,1,4,1,2,3,2,1,2,1,2
277,1,1,2,1,3,1,1,2,1,1,1,1,1,1,2,1,3,3,1,1,5,1,2,1,1,1,3,1,35,2,4,1,2,2,1,4,1,3,5,4,1,3,1,2
278,1,1,4,1,2,1,1,2,1,1,1,2,1,1,1,2,2,2,1,3,3,2,2,1,1,1,2,2,25,2,2,2,3,2,1,3,2,2,4,2,5,4,2,2
279,1,1,4,1,4,1,1,2,1,1,1,1,1,1,1,2,4,4,1,2,6,2,3,1,1,1,4,2,25,2,4,2,2,2,1,5,2,4,4,3,1,4,2,3
280,2,2,3,1,3,1,1,1,1,1,1,2,1,1,2,1,3,3,1,2,6,2,2,1,1,1,2,2,38,2,3,2,3,1,1,4,1,3,4,3,1,4,2,2
281,1,1,2,1,4,1,1,3,1,1,1,1,1,1,2,3,4,4,1,1,4,3,1,1,1,1,4,2,40,3,4,3,3,1,1,4,3,4,3,2,1,2,1,2
282,1,2,4,1,4,1,1,3,1,1,1,2,1,1,1,3,4,4,1,1,6,3,1,1,1,1,4,2,38,3,4,3,1,1,1,6,3,4,5,5,2,2,2,2
283,1,2,3,1,3,1,1,3,2,1,1,1,1,1,2,3,3,3,1,3,5,3,3,1,1,1,2,1,38,3,3,3,2,2,1,3,3,3,4,3,4,4,4,4
284,1,2,4,1,3,1,1,3,2,1,1,1,1,1,1,3,3,3,1,3,6,2,3,1,1,1,3,2,48,2,3,3,2,2,1,5,3,3,4,3,1,4,1,3
285,2,2,3,1,3,1,1,1,2,1,1,1,1,1,2,1,3,3,1,2,6,2,1,1,1,1,2,2,35,2,4,2,3,2,1,6,1,3,6,4,1,5,2,4
286,1,1,4,1,3,1,1,2,2,1,1,2,1,1,2,1,3,3,1,2,4,1,1,1,1,1,3,2,42,3,4,3,2,1,1,2,4,3,5,2,1,4,1,2
287,1,1,2,1,5,1,1,2,2,1,1,2,1,1,2,3,5,4,1,3,6,1,4,1,1,1,5,2,45,3,5,3,1,1,1,6,2,5,4,3,1,2,1,3
288,1,1,1,1,4,1,1,2,3,2,1,1,1,1,2,2,3,3,1,2,5,1,2,1,1,1,3,1,42,3,3,2,3,1,1,4,2,4,4,3,1,3,2,2
289,2,2,4,1,4,1,1,2,2,1,1,1,1,1,2,2,4,3,1,3,4,2,2,1,1,1,3,3,62,2,4,3,2,2,1,4,2,3,4,3,1,4,2,3
290,1,1,4,1,4,1,1,2,2,1,1,1,1,1,1,1,3,4,1,2,5,2,6,1,1,1,6,1,27,5,3,3,2,2,1,5,1,5,5,3,1,4,1,2
291,1,2,2,1,5,1,1,3,2,1,1,2,1,1,1,4,4,5,1,6,3,3,3,1,1,1,4,4,27,2,6,3,2,1,1,4,3,5,5,2,1,3,1,2
292,1,1,3,1,6,1,1,1,1,1,1,2,1,1,1,1,6,6,1,1,6,1,1,1,1,1,6,6,30,2,6,6,6,1,1,6,1,6,6,4,1,3,2,2
293,2,2,3,1,5,1,1,2,3,1,1,2,1,1,2,2,5,5,1,2,5,1,2,1,1,1,4,3,26,2,5,2,6,2,1,6,2,5,4,2,1,2,1,1
294,2,2,6,1,3,1,1,3,2,2,1,1,1,1,1,2,3,4,1,3,5,2,2,1,1,1,3,2,26,3,3,2,3,2,1,4,2,3,5,3,1,4,1,2
295,1,2,4,1,5,1,1,2,2,1,1,1,1,1,1,2,4,5,1,4,5,2,3,1,1,1,4,4,34,3,5,3,2,1,1,4,4,4,4,2,1,4,1,1
296,1,1,4,1,5,1,1,3,3,1,1,2,1,1,2,4,4,5,1,6,4,3,3,1,1,1,4,4,42,2,6,3,2,1,1,2,3,5,5,2,1,4,1,2
297,1,1,3,1,5,1,1,1,4,1,1,2,1,1,2,1,5,5,1,3,5,1,2,1,1,1,5,3,40,3,5,1,3,1,1,5,1,5,4,3,1,5,1,2
298,1,1,4,1,3,1,1,3,3,1,1,1,1,1,1,3,4,4,1,4,6,1,3,1,1,1,3,3,23,4,4,3,3,1,1,5,3,4,5,3,1,2,1,1
299,1,2,5,1,4,1,1,3,4,1,1,1,1,1,2,2,3,3,1,4,4,1,3,1,1,1,3,3,41,4,4,4,1,1,1,6,1,3,5,3,1,3,1,1
300,1,2,2,1,4,1,1,3,4,1,1,1,1,1,2,2,3,3,1,4,4,1,3,1,1,1,3,3,41,4,4,4,4,1,1,4,1,3,5,2,1,2,2,1
301,1,2,3,1,4,1,1,2,4,3,1,2,1,1,1,2,3,4,1,2,6,2,2,1,1,1,5,2,39,4,3,2,3,2,1,6,2,4,6,5,1,5,1,3
