,Proud,Participantsex,Levelofeducation,Ashamed,Skilful,Envious,Desprecio,Goodnatured,Inspired,Uneasy,Hateful,Leadersex,Jealous,Frustrated,Maritalstatus,Warm,Capable,Competent,Resentful,Wellintentioned,Assessmentleader,Simpaty,Friendly,Molestia,Disgusted,Pity,Intelligent,Admiring,Age,Respectful,Confident,Trustworthy,Replacementleader,Typeofcompany,Angry,Responsaatribu,Sincere,Efficient,Group1(Competent),Group2(Friendly),Group3(Hateful),Group4(Admiring),Group5(Jealous),Group6(Uneasy)
334,6,1,2,1,6,1,1,5,6,5,1,2,1,1,0,5,6,6,1,5,6,2,5,1,1,1,6,6,52,6,6,6,2,2,1,5,5,6,4,3,1,2,2,2
335,1,2,2,1,4,2,1,3,2,1,1,2,1,1,1,2,4,4,1,2,3,2,2,1,1,1,3,3,42,3,5,2,3,2,1,3,2,4,4,2,5,2,4,2
336,2,2,3,1,3,2,1,3,2,1,1,1,1,1,2,3,3,3,1,2,5,2,2,1,1,1,4,2,52,3,5,3,3,1,1,4,3,4,4,2,1,4,1,3
337,2,2,2,1,5,2,1,2,3,2,1,1,1,1,2,2,4,3,1,3,6,4,3,1,1,2,5,3,58,3,3,3,1,1,1,6,2,4,4,2,1,3,2,2
338,3,2,4,1,3,1,1,2,2,2,1,1,2,1,2,2,4,3,1,3,6,3,2,1,1,1,4,3,40,3,3,4,6,2,1,6,3,4,6,4,1,1,1,1
339,3,2,1,1,4,2,1,4,4,1,1,2,1,1,2,3,4,3,1,5,1,1,5,1,1,1,4,3,40,3,4,4,1,1,1,1,3,4,2,1,5,1,1,1
340,2,2,3,1,2,2,1,2,3,2,1,1,1,1,2,2,3,4,1,3,5,3,3,1,1,1,3,4,38,4,4,4,2,2,1,3,3,4,4,3,4,4,4,4
341,3,2,4,1,5,2,1,3,4,3,1,2,1,1,2,2,5,5,1,3,4,4,3,1,1,1,5,3,37,4,5,3,2,1,1,6,4,5,5,4,1,2,1,2
342,4,2,2,1,5,2,1,2,4,2,1,2,1,1,1,2,5,5,1,3,3,3,4,1,1,1,5,4,27,4,5,3,2,1,1,4,4,5,5,2,1,3,1,2
343,3,2,3,1,5,2,1,4,4,3,1,1,1,1,2,2,4,4,1,3,6,4,4,1,1,1,4,4,47,5,4,4,2,2,1,5,3,5,5,2,2,3,4,2
344,2,2,4,1,5,2,1,1,3,2,1,1,2,1,1,1,3,3,1,2,5,3,2,1,1,1,5,3,34,3,3,2,2,1,1,4,2,4,4,2,1,4,1,1
345,4,2,4,1,4,3,1,3,2,1,1,1,1,1,1,2,4,4,1,4,6,4,4,1,1,1,4,4,47,3,4,4,1,2,1,6,3,4,5,1,2,2,1,1
346,3,1,3,1,5,3,1,4,3,2,1,2,1,1,1,2,5,5,1,2,3,4,3,1,1,1,5,3,41,3,5,4,3,1,1,3,3,5,2,2,2,3,3,2
347,4,1,3,1,5,3,1,2,2,1,1,2,1,1,1,2,4,5,1,3,5,4,2,1,1,1,4,4,31,4,4,2,2,1,1,5,3,4,5,4,1,5,1,3
348,3,1,2,1,5,2,1,4,3,3,1,2,2,1,1,3,5,5,1,4,5,2,5,1,1,1,5,3,24,3,5,5,3,2,1,6,4,5,5,5,1,5,1,5
349,3,2,4,1,5,2,1,3,4,3,1,1,2,1,2,3,5,5,1,4,5,4,3,1,1,1,4,4,40,4,4,4,3,1,1,3,3,5,4,3,1,4,1,2
350,4,1,2,1,4,2,1,3,4,3,1,2,2,1,1,3,4,4,1,3,6,2,3,1,1,1,4,4,38,4,4,4,2,1,1,6,3,4,5,4,1,3,2,2
351,3,1,1,1,5,2,1,3,5,2,1,1,2,1,2,3,5,5,1,5,6,4,4,1,1,1,5,4,64,5,5,5,2,1,1,6,3,5,5,4,1,4,1,3
352,2,2,3,1,6,4,1,3,4,1,1,1,1,1,1,3,5,5,1,4,6,3,4,1,1,1,6,4,22,3,6,5,1,2,1,5,2,5,5,4,1,4,2,3
