,Leadersex,Intelligent,Trustworthy,Efficient,Skilful,Pity,Typeofcompany,Replacementleader,Disgusted,Responsaatribu,Proud,Hateful,Capable,Resentful,Wellintentioned,Inspired,Sincere,Frustrated,Simpaty,Respectful,Molestia,Assessmentleader,Confident,Friendly,Goodnatured,Participantsex,Envious,Uneasy,Angry,Levelofeducation,Ashamed,Desprecio,Age,Jealous,Warm,Admiring,Maritalstatus,Competent
441,2,5,4,5,5,1,2,1,1,6,2,1,5,1,5,3,3,1,3,6,1,6,5,2,3,2,1,2,1,3,1,1,47,1,3,4,2,5
442,2,5,3,4,5,1,2,2,1,4,3,1,5,1,4,3,5,1,2,5,1,5,5,3,3,1,1,3,1,3,1,1,50,1,3,3,2,3
443,2,3,3,3,3,1,2,2,1,3,3,1,3,1,5,3,3,1,4,5,1,5,3,4,4,1,1,3,1,4,1,1,44,1,4,3,1,3
444,2,4,3,4,4,1,1,2,1,4,4,1,4,1,3,4,2,1,2,4,1,5,4,3,2,1,1,2,1,3,1,1,32,1,2,4,1,4
445,2,4,3,4,4,1,2,3,1,6,3,1,3,1,3,4,3,1,2,4,1,6,4,4,3,2,1,2,1,4,1,1,32,1,3,5,2,3
446,2,5,4,5,3,1,2,4,1,4,3,1,3,1,5,4,3,1,4,4,1,4,5,3,3,1,1,4,1,0,1,1,31,1,3,3,1,4
447,2,4,4,4,4,1,2,2,1,4,4,1,4,1,3,3,4,1,3,4,1,4,4,4,4,1,1,3,1,4,1,1,48,1,3,4,1,4
448,2,6,5,5,6,1,2,2,1,6,2,1,5,1,4,5,4,1,5,4,1,5,5,4,3,2,1,2,1,4,1,1,41,1,3,5,2,5
449,2,5,5,5,5,1,2,4,1,6,4,1,5,1,4,3,4,1,4,4,1,5,5,4,5,2,1,3,1,3,1,1,62,1,4,4,2,5
450,2,5,5,5,5,1,2,1,1,5,1,1,5,1,5,5,5,1,4,5,1,5,5,5,5,2,1,2,1,4,1,1,35,1,5,5,2,5
451,2,6,6,6,6,1,2,1,1,6,4,1,6,1,6,4,6,1,4,4,1,6,6,6,6,2,1,3,1,3,1,1,21,1,6,3,1,6
452,2,5,4,5,6,1,2,3,1,5,2,1,6,1,3,5,3,1,4,4,1,5,5,3,2,2,1,3,1,4,1,1,27,1,2,5,2,6
453,2,5,5,5,6,1,2,3,1,5,2,1,4,1,4,5,4,1,3,5,1,5,4,4,3,2,1,3,1,2,1,1,32,1,3,5,2,5
454,2,4,4,5,4,1,2,1,1,4,3,1,4,1,5,5,4,1,2,4,1,4,4,4,4,2,1,4,1,4,1,1,43,1,4,4,3,4
455,2,5,5,6,6,1,2,3,1,6,4,1,5,1,5,5,4,1,4,4,1,6,6,5,5,2,1,2,1,3,1,1,39,1,5,6,1,6
456,2,5,5,6,6,1,2,2,1,5,5,1,6,1,4,4,4,1,2,5,1,6,6,3,3,1,1,2,1,4,1,1,47,1,3,6,4,6
